OBJECTID,ישוב,סוג רשות מקומית,CR_PNIM,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב,Shape_Length,Shape_Area,קוד ישוב,YEARMONTH,תאונות לקילומטר רבוע
118,כפר סבא,עירייה,6900,מרכז,2284,8,75,2842,349,407,2099,358,2925,4167,310,109,151,2968,4167,25526.00647,14485638.09,6900,202007,157.6734132
119,כפר קאסם,עירייה,0634,מרכז,645,3,17,849,110,194,623,30,869,1094,41,54,27,740,1094,17333.68033,9299837.642,634,202007,69.35604952
120,כפר קרע,מועצה מקומית,0654,חיפה,454,1,13,668,45,165,490,21,682,803,29,21,15,557,803,14114.86545,7809637.151,654,202007,58.13330264
121,כפר שמריהו,מועצה מקומית,0267,תל אביב,191,0,7,248,7,22,199,29,255,376,21,9,4,282,376,7335.974539,2728115.892,267,202007,70.01168849
122,כפר תבור,מועצה מקומית,0047,צפון,178,4,12,289,3,43,239,22,305,348,7,22,0,258,348,24524.50715,12389881.2,47,202007,14.36656229
123,כרמיאל,עירייה,1139,צפון,1783,5,43,2927,211,517,2160,247,2975,3342,78,88,23,2570,3342,31076.37194,22028582.35,1139,202007,80.94029711
124,לב השרון,מועצה אזורית,5518,מרכז,561,6,27,806,23,107,676,48,839,1095,50,58,8,785,1095,94482.80853,54919587.02,5518,202007,10.21493479
125,להבים,מועצה מקומית,1271,דרום,62,0,4,93,3,14,77,5,97,116,6,7,1,83,116,17919.24184,11152274.64,1271,202007,5.559403979
126,לוד,עירייה,7000,מרכז,2367,10,65,3019,462,560,2165,226,3094,4139,173,106,173,2803,4139,22782.99322,12087022.31,7000,202007,195.8298694
127,לכיש,מועצה אזורית,5550,דרום,402,8,32,679,18,110,553,39,719,705,17,49,4,481,705,178503.0896,378958140.6,5550,202007,1.060803178
128,ללא שיפוט - אזור אגם דלתון,ללא שיפוט,9904,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574.853246,490063.1936,9904,202007,0
129,ללא שיפוט - אזור בין דבוריה לאכסאל,ללא שיפוט,9932,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690.532225,657149.0214,9932,202007,0
130,ללא שיפוט - אזור בין חוסן לכפר ורדים,ללא שיפוט,9907,צפון,4,0,0,7,0,0,7,0,7,9,1,0,0,7,9,4594.721448,665689.7238,9907,202007,6.00880539
131,ללא שיפוט - אזור בקעת בית נטופה,ללא שיפוט,9924,צפון,7,0,0,24,1,7,17,0,24,13,0,0,0,11,13,36531.61017,25818322.1,9924,202007,0.271125287
132,ללא שיפוט - אזור גבעת המורה,ללא שיפוט,9934,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816.028887,266752.2717,9934,202007,0
133,ללא שיפוט - אזור הארבל,ללא שיפוט,9926,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807.2967308,26971.30801,9926,202007,0
134,ללא שיפוט - אזור הכנרת,ללא שיפוט,9920,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56960.8503,163642674.8,9920,202007,0
135,ללא שיפוט - אזור הסייג,ללא שיפוט,9971,דרום,338,24,47,653,20,132,564,27,724,592,12,44,0,382,592,366696.8226,579997077.8,9971,202007,0.582761557
136,ללא שיפוט - אזור הר הכרמל,ללא שיפוט,9936,חיפה,194,3,20,331,2,38,292,22,354,388,7,41,0,289,388,126574.7063,80378433.35,9936,202007,2.413582747
137,ללא שיפוט - אזור הר מירון,ללא שיפוט,9903,צפון,49,2,10,111,1,31,78,14,123,76,3,0,0,68,76,79473.2772,56571004.21,9903,202007,0.866168114
138,ללא שיפוט - אזור הר סאסא,ללא שיפוט,9905,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4029.721245,713858.2,9905,202007,0
139,ללא שיפוט - אזור הר תבור,ללא שיפוט,9930,צפון,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,8983.320336,3504674.093,9930,202007,0.285333236
140,"ללא שיפוט - אזור השפד""ן",ללא שיפוט,9965,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8058.294449,2489612.277,9965,202007,0
141,ללא שיפוט - אזור חולות יבנה,ללא שיפוט,9968,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19766.32707,12815416.38,9968,202007,0
142,ללא שיפוט - אזור חלוץ,ללא שיפוט,9910,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9242.586448,2033581.487,9910,202007,0
143,ללא שיפוט - אזור יער אלונה,ללא שיפוט,9940,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127.9903,557177.8487,9940,202007,0
144,ללא שיפוט - אזור יער חורשים,ללא שיפוט,9961,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629.955333,697609.7659,9961,202007,0
145,ללא שיפוט - אזור יער מנשה,ללא שיפוט,9944,חיפה,318,4,17,630,8,126,490,30,651,653,11,33,4,482,653,27036.0401,7515577.687,9944,202007,42.31211668
146,ללא שיפוט - אזור כביש 6535,ללא שיפוט,9955,חיפה,8,0,0,18,0,4,14,0,18,13,1,0,0,8,13,8606.73293,312533.639,9955,202007,25.59724459
147,ללא שיפוט - אזור כפר כנא,ללא שיפוט,9928,צפון,30,0,2,55,0,6,46,5,57,56,1,4,0,44,56,15355.27191,5080369.024,9928,202007,5.905082851
148,ללא שיפוט - אזור כפר תבור,ללא שיפוט,9931,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126.624948,379614.8522,9931,202007,0
149,ללא שיפוט - אזור מאגר צלמון,ללא שיפוט,9923,צפון,6,0,0,18,0,4,14,0,18,11,0,0,0,8,11,5979.520047,1085669.57,9923,202007,5.526543402
150,ללא שיפוט - אזור מאגרי מנשה,ללא שיפוט,9945,חיפה,180,2,11,274,7,33,233,16,287,358,7,16,5,276,358,19158.21855,12200099.01,9945,202007,14.75397862
151,ללא שיפוט - אזור מדרום לג'דיידה-מכר,ללא שיפוט,9917,צפון,86,0,0,241,0,41,195,5,241,193,3,7,0,156,193,7928.877081,2538222.051,9917,202007,33.88198442
152,ללא שיפוט - אזור מדרום לג'וליס,ללא שיפוט,9915,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700.217425,266521.6999,9915,202007,0
153,ללא שיפוט - אזור מדרום למחלף חורשים,ללא שיפוט,9962,מרכז,12,0,1,26,0,7,20,0,27,28,0,4,0,19,28,3252.767071,568080.7619,9962,202007,21.12375705
154,ללא שיפוט - אזור מדרום לראש העין,ללא שיפוט,9963,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12859.60959,6946708.062,9963,202007,0
155,ללא שיפוט - אזור מושב אומץ,ללא שיפוט,9958,מרכז,17,0,1,27,1,7,20,1,28,33,0,3,0,23,33,6890.041151,2317115.495,9958,202007,7.33670809
156,ללא שיפוט - אזור מושיריפה,ללא שיפוט,9942,חיפה,39,0,2,78,0,17,58,4,80,75,1,5,0,57,75,5675.642588,292963.9176,9942,202007,133.1221958
157,ללא שיפוט - אזור מזרחית לכפר תראבין,ללא שיפוט,9973,דרום,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361.989113,51619.56724,9973,202007,0
