OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
732,2160,נטור רמות,מגורים,1236,90139374,מגורים,1,1,0,30,0,13,15,2,31,16,0,1,0,12,16,54339.43451,90139373.96,9,0.099845379,
733,1190,ירושלים,קריית חינוך+ מכללה אקדמאית,0,439130,מוסדי/ציבורי,2,0,0,27,0,5,17,5,27,33,1,2,0,26,33,3995.480529,439130.1094,16,36.43567056,3000
734,141,הרצליה,מגורים,3172,215263,מגורים,1,0,1,4,2,1,3,1,5,8,1,0,0,6,8,2771.888175,215262.9297,5,23.22740849,6400
735,1816,קרית ביאליק,שטח פתוח,0,540421,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048.762686,540420.9939,0,0,9500
736,783,אשדוד,מגורים,10640,1079107,מגורים,1,0,0,30,9,10,18,2,30,34,4,0,0,24,34,4304.547596,1079107.346,21,19.46052919,70
737,2395,מועצה אזורית בני שמעון,שטח פתוח,0,1807905,פנאי/טבע/ספורט,3,0,3,82,0,8,75,2,85,81,1,5,0,55,81,6729.732412,1807904.536,40,22.12506203,
738,1409,בית שמש,מיועד למגורים,0,865959,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6204.645499,865959.343,0,0,2610
739,1027,חולון,שטח פתוח,0,428554,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3045.781931,428554.0778,0,0,6600
740,234,אור יהודה,תעשיה ומלאכה,0,292007,תעשיה/מסחר/מתקנים,4,0,2,9,0,1,10,0,11,14,4,0,0,6,14,2487.869902,292007.0632,7,23.97202288,2400
741,1669,חיפה,מגורים,3540,631283,מגורים,1,0,5,48,11,5,40,8,53,64,7,0,0,49,64,4040.087779,631283.0799,33,52.27448834,4000
742,876,תל מונד,שטח פתוח,0,2871127,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9844.284596,2871126.995,0,0,154
743,2232,ערערה,מגורים,7460,3231726,מגורים,1,2,7,112,4,34,80,6,121,94,4,7,0,68,94,11668.85487,3231726.325,41,12.68671783,637
744,1518,בית פג'אר,לא ידוע,0,25394330,עתידי/לא ידוע,5,1,4,24,1,2,25,2,29,22,1,2,0,8,22,23989.17431,25394330.03,11,0.433167561,
745,469,לוד,תעשיה ומלאכה,0,782677,תעשיה/מסחר/מתקנים,4,0,0,3,2,0,3,0,3,4,0,1,0,3,4,4061.732949,782676.7853,3,3.832999849,7000
746,1120,ירושלים,מגורים,10882,406610,מגורים,1,0,9,83,26,18,68,6,92,95,8,2,2,58,95,3818.133448,406609.7539,60,147.5616348,3000
747,87,תל אביב - יפו,מגורים,3666,265922,מגורים,1,0,4,43,10,9,30,6,47,57,9,0,7,29,57,2164.999559,265921.8983,32,120.3360844,5000
748,2467,קרית גת,מגורים,3599,482611,מגורים,1,0,1,7,1,1,4,3,8,6,0,0,0,6,6,2759.190354,482610.8462,4,8.288251356,2630
749,713,ראש העין,מגורים,4530,421227,מגורים,1,0,0,7,1,4,3,0,7,7,0,0,0,7,7,3100.359732,421226.7388,4,9.49607333,2640
750,2085,מורן לוטם צביה כמון מכמנים סלמה כמאנה חוסנייה ראס אל-עין,מגורים,9339,35876792,מגורים,1,4,29,277,1,82,207,19,310,179,4,5,0,143,179,45316.49274,35876791.63,94,2.62007821,
751,1355,כיכר א-סאעה,לא ידוע,0,497019,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625.277752,497018.9954,0,0,
752,306,בת ים,מגורים,4613,286795,מגורים,1,0,9,68,24,13,45,16,77,100,17,1,2,65,100,2166.86322,286794.5376,58,202.235372,6200
753,1997,נהריה,מגורים,3463,376421,מגורים,1,0,3,46,3,13,33,3,49,43,2,0,2,34,43,3537.649627,376420.7724,23,61.1018352,9100
754,948,נטעים גן שורק,מגורים,1308,3732076,מגורים,1,1,0,5,1,0,6,0,6,5,1,0,0,4,5,9687.159139,3732076.413,3,0.803842062,
755,1615,בית רימא,לא ידוע,0,23239035,עתידי/לא ידוע,5,0,0,3,0,0,3,0,3,2,0,0,0,2,2,21990.37167,23239035.15,1,0.043031046,
756,2304,עכו,מגורים,1512,664197,מגורים,1,2,3,46,7,14,32,4,51,41,2,0,0,35,41,3268.959897,664197.2255,24,36.13384561,7600
757,566,רחובות,תעשיה,6,1160021,תעשיה/מסחר/מתקנים,4,1,3,88,1,16,67,9,92,92,4,1,2,78,92,5553.555334,1160021.306,46,39.65444406,8400
758,1192,ירושלים,מגורים+ מכללה אקדמאית,3289,254279,מגורים,1,1,0,6,2,1,5,1,7,11,0,0,0,10,11,2001.400625,254278.6787,6,23.59615847,3000
759,2564,אשקלון,מגורים,3604,299310,מגורים,1,0,1,6,4,0,5,2,7,7,1,0,0,6,7,2979.244474,299310.002,5,16.70508826,7100
760,159,גליל ים,בסיס צבאי,0,998870,מוסדי/ציבורי,2,1,2,4,0,0,7,0,7,14,3,0,0,10,14,4410.033861,998870.1951,6,6.006786497,
761,1834,קרית אתא,מגורים,3461,2356727,מגורים,1,1,1,23,6,11,13,1,25,22,2,0,1,13,22,9333.162894,2356727.108,14,5.940441705,6800
762,785,אשדוד,מגורים,7016,391109,מגורים,1,0,1,24,7,10,15,0,25,27,5,0,1,14,27,2542.843084,391109.2113,17,43.46612022,70
763,2413,באר שבע,מגורים,2326,456494,מגורים,1,0,0,16,2,3,12,0,16,18,1,0,0,12,18,2918.070066,456493.9889,10,21.90609349,9000
764,1427,מחצבות שורק-נחם,מחצבה,0,2897793,תעשיה/מסחר/מתקנים,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10411.50236,2897793.018,0,0,
765,1045,ג'לג'וליה,מגורים,9983,1316637,מגורים,1,0,0,6,0,0,6,0,6,7,0,1,0,4,7,6470.50225,1316637.367,4,3.038042288,627
766,252,בני ברק,תעשיה,0,343462,תעשיה/מסחר/מתקנים,4,0,1,3,0,2,2,0,4,7,3,0,0,2,7,2400.005826,343461.7687,3,8.734596607,6100
767,1687,חיפה,מגורים,5654,302366,מגורים,1,1,7,23,19,6,16,8,31,37,4,2,1,23,37,2741.266039,302365.5249,26,85.98863912,4000
768,894,חגור,מגורים,1156,4163528,מגורים,1,1,5,122,0,21,91,16,128,121,6,4,1,97,121,11586.28725,4163527.514,59,14.17067614,
769,2250,באקה אל-גרביה,מגורים,12944,3221759,מגורים,1,0,0,12,0,7,5,0,12,14,0,1,0,11,14,8338.021673,3221758.818,6,1.862336798,
770,1520,בית סאחור,לא ידוע,0,1199873,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5353.31426,1199872.997,0,0,
771,487,לוד,שטח לדרכים,0,227576,עתידי/לא ידוע,5,1,4,6,5,4,5,2,11,10,2,1,0,5,10,3477.069073,227576.2314,6,26.36479198,7000
772,1138,ירושלים,מגורים,6206,1255075,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5388.208267,1255074.765,0,0,3000
773,89,תל אביב - יפו,מגורים,3617,422949,מגורים,1,4,11,96,14,25,74,10,111,165,33,2,6,90,165,2692.068722,422949.3309,84,198.6053502,5000
774,1780,חיפה,מגורים,4742,462473,מגורים,1,1,1,45,6,5,36,6,47,45,1,1,0,39,45,2753.1872,462472.6665,25,54.05724881,4000
775,2485,אשקלון,מגורים,4803,594806,מגורים,1,0,0,23,6,4,14,4,23,18,1,0,0,15,18,3994.210938,594805.8338,11,18.49342991,7100
776,731,מודיעין-מכבים-רעות*,מגורים,9372,1428355,מגורים,1,0,3,17,7,4,11,5,20,24,1,0,0,21,24,4933.102236,1428355.248,15,10.50158917,1200
777,2103,סח'נין,מגורים,3493,218976,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473.309713,218976.1417,0,0,7500
778,1373,בית שמש,שטח פתוח,0,2872660,פנאי/טבע/ספורט,3,0,2,32,1,4,27,2,34,37,3,2,0,26,37,11801.76385,2872660.174,18,6.265969141,2610
779,324,בית חולים וולפסון,בית חולים,0,282586,מוסדי/ציבורי,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662.013809,282586.3516,0,0,
780,2015,אבו סנאן,מגורים,4453,2999042,מגורים,1,0,0,13,0,6,7,0,13,7,0,0,0,6,7,10903.58931,2999042.497,5,1.667198783,473
781,966,פתח תקווה,מגורים,3667,291977,מגורים,1,0,2,23,9,6,13,4,25,30,5,1,1,19,30,2771.657676,291976.7704,19,65.07366999,7900
782,1617,עלי זהב ברוכין פדואל,מגורים,5742,18721278,מגורים,1,2,4,46,0,13,37,2,52,44,0,0,0,29,44,25866.5293,18721277.86,23,1.228548616,
783,2322,טבריה,בית חולים,0,222579,מוסדי/ציבורי,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870.499966,222579.1129,0,0,6700
784,568,רחובות,אוניברסיטה,0,460283,מוסדי/ציבורי,2,0,1,5,2,0,5,1,6,9,3,0,0,5,9,2775.750017,460282.936,5,10.86288369,8400
785,1210,סטף,פנאי ונופש,0,1709885,פנאי/טבע/ספורט,3,0,3,24,0,2,25,0,27,22,3,1,0,16,22,7079.463718,1709884.506,11,6.433183037,
786,2582,נועם איתן אבן שמואל אחוזם עוזה שלווה,מגורים,3919,33896948,מגורים,1,3,10,91,3,17,79,7,104,83,1,5,1,57,83,46732.55681,33896947.81,44,1.298051973,
787,161,הרצליה,תיירות ונופש,0,564700,פנאי/טבע/ספורט,3,0,1,3,4,0,1,3,4,4,0,0,0,4,4,4250.215008,564699.7726,4,7.083409972,6400
788,1852,עספיא,מגורים,6112,15154704,מגורים,1,1,14,101,1,19,91,5,116,81,2,15,0,53,81,22490.9437,15154704.23,36,2.375500007,
789,803,המרכז למחקר גרעיני שורק,תעשיה,0,7152997,תעשיה/מסחר/מתקנים,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14104.25229,7152997.082,0,0,
790,2431,באר שבע,מגורים,7864,905996,מגורים,1,1,0,7,1,0,7,1,8,9,0,0,0,8,9,3814.594107,905995.9455,5,5.518788494,9000
791,1445,אל ולג'ה,לא ידוע,0,1809838,עתידי/לא ידוע,5,0,0,1,0,0,1,0,1,3,0,0,0,3,3,8155.617718,1809838.46,1,0.552535501,
792,396,גבעת חן,מגורים,363,1356308,מגורים,1,0,2,10,0,3,9,0,12,11,2,0,0,7,11,5735.360571,1356307.725,5,3.68647904,
793,1063,ירושלים,מגורים,2695,421834,מגורים,1,0,2,3,4,2,2,1,5,6,1,0,0,4,6,3499.473375,421833.9164,5,11.85300614,3000
794,14,תל אביב - יפו,מגורים,3696,411542,מגורים,1,0,1,5,5,2,2,2,6,4,0,0,0,2,4,2672.514515,411541.6264,4,9.719551423,5000
795,1689,חיפה,מגורים,3108,411977,מגורים,1,0,0,6,1,2,4,0,6,4,0,0,0,3,4,4126.714035,411976.7782,2,4.854642557,4000
796,640,כפר סבא,מגורים,3235,232418,מגורים,1,0,0,2,2,1,0,1,2,2,0,0,0,2,2,2292.963121,232417.8884,2,8.605189616,6900
797,2268,מעגן מיכאל,מגורים,1992,6874324,מגורים,1,0,1,17,0,1,17,0,18,21,2,2,0,17,21,14487.49188,6874324.111,10,1.454688467,
798,1282,ירושלים,תעשיה,313,269840,תעשיה/מסחר/מתקנים,4,0,3,21,5,2,20,1,24,30,7,2,1,16,30,2478.196834,269840.3723,18,66.70610424,3000
